month,from_currency,to_currency,rate,source
2024-12,CNY,KRW,196.40,mock-ecos
2024-12,JPY,KRW,9.12,mock-ecos
2024-12,USD,KRW,1432.10,mock-ecos
2025-03,CNY,KRW,201.15,mock-ecos
2025-03,JPY,KRW,9.44,mock-ecos
2025-03,USD,KRW,1468.55,mock-ecos
2025-06,CNY,KRW,192.85,mock-ecos
2025-06,JPY,KRW,9.05,mock-ecos
2025-06,USD,KRW,1389.20,mock-ecos
2025-09,CNY,KRW,188.30,mock-ecos
2025-09,JPY,KRW,8.88,mock-ecos
2025-09,USD,KRW,1355.70,mock-ecos
2025-12,CNY,KRW,194.05,mock-ecos
2025-12,JPY,KRW,9.21,mock-ecos
2025-12,USD,KRW,1401.35,mock-ecos
2026-03,CNY,KRW,191.20,mock-ecos
2026-03,JPY,KRW,9.03,mock-ecos
2026-03,USD,KRW,1378.90,mock-ecos
2026-05,CNY,KRW,189.55,mock-ecos
2026-05,USD,KRW,1366.25,mock-ecos
2026-06,CNY,KRW,188.70,mock-ecos
2026-06,JPY,KRW,8.95,mock-ecos
2026-06,USD,KRW,1359.80,mock-ecos
